PHR,group,level,n,answer,pct,low,high
2,Education,Some college,248,NO,59.7,46.5,71.7
2,Education,College graduate,286,NO,68.4,56.0,78.6
2,Income,"<$25,000",125,NO,66.6,41.8,84.7
2,Income,"$25,000 to <$50,000",166,NO,40.0,26.1,55.8
2,Income,"$50,000+",398,NO,69.0,58.8,77.7
2,Marital Status,Married,427,NO,55.3,42.7,67.2
2,Marital Status,Not married,360,NO,71.2,61.2,79.5
2,Employment Status,Employed,365,NO,80.9,71.9,87.5
2,Employment Status,Not employed,419,NO,45.1,32.4,58.4
2,Health Insurance,Health insurance,696,NO,60.1,50.2,69.2
2,Health Insurance,No health insurance,56,NO,79.2,61.6,90.1
2,Disability Status,Has disability,288,NO,41.5,28.3,56.0
2,Disability Status,No disability,495,NO,74.7,67.2,80.9
2,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
2,Sexual Orientation,Straight,694,NO,63.4,53.7,72.1
3,Total,Total,"2,202",YES,33.5,30.8,36.3
3,Sex,Male,"1,114",YES,31.0,27.4,34.8
3,Sex,Female,"1,088",YES,36.0,32.1,40.0
3,Race/Ethnicity,"White, Non-Hispanic","1,341",YES,40.4,36.8,44.0
3,Race/Ethnicity,"Black, Non-Hispanic",237,YES,34.1,26.9,42.1
3,Race/Ethnicity,Hispanic,356,YES,25.2,19.9,31.4
3,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",222,YES,27.1,20.3,35.2
3,Age,18 to 29,362,YES,21.8,16.7,28.0
3,Age,30 to 44,530,YES,17.4,13.7,21.8
3,Age,45 to 64,663,YES,30.6,25.9,35.7
3,Age,65+,616,YES,73.2,67.6,78.2
3,Education,Less than high school,115,YES,28.4,19.4,39.5
3,Education,High school graduate,474,YES,28.5,23.4,34.3
3,Education,Some college,599,YES,38.9,33.8,44.3
3,Education,College graduate,"1,004",YES,34.2,30.5,38.0
3,Income,"<$25,000",218,YES,39.0,30.1,48.7
3,Income,"$25,000 to <$50,000",410,YES,32.7,26.7,39.3
3,Income,"$50,000+","1,216",YES,31.6,28.1,35.4
3,Marital Status,Married,"1,128",YES,34.8,31.1,38.8
