source_file,group,category,sample_size,response,pct,ci_low,ci_high
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,18 to 29,134,YES,64.1,45.2,79.5
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,30 to 44,216,YES,58.3,42.1,72.9
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,45 to 64,283,YES,85.6,78.8,90.4
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,65+,329,YES,90.9,78.7,96.5
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,Less than high school,76,YES,74.5,55.0,87.5
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,High school graduate,245,YES,71.2,56.3,82.5
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,Some college,276,YES,71.8,56.8,83.2
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,College graduate,369,YES,77.5,59.1,89.2
2024_PHR1_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",125,YES,86.2,76.3,92.3
2024_PHR1_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",213,YES,64.7,46.8,79.3
2024_PHR1_BRFSS_Summary_Tables.xlsx,Income,"$50,000+",453,YES,68.8,55.2,79.7
2024_PHR1_BRFSS_Summary_Tables.xlsx,Marital Status,Married,502,YES,71.5,59.6,81.0
2024_PHR1_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,463,YES,76.9,67.0,84.5
2024_PHR1_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,523,YES,66.0,55.6,75.1
2024_PHR1_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,428,YES,81.6,69.0,89.8
2024_PHR1_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,840,YES,78.6,70.3,85.0
2024_PHR1_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,86,YES,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,295,YES,89.2,82.3,93.6
2024_PHR1_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,611,YES,63.7,53.0,73.2
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sexual Orientation,Straight,843,YES,73.2,64.1,80.7
2024_PHR1_BRFSS_Summary_Tables.xlsx,Total,Total,969,NO,14.3,8.9,22.2
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sex,Male,474,NO,14.6,8.4,24.2
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sex,Female,495,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"White, Non-Hispanic",624,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Black, Non-Hispanic",50,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,Hispanic,218,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",52,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,18 to 29,134,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,30 to 44,216,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,45 to 64,283,NO,7.7,4.5,12.9
2024_PHR1_BRFSS_Summary_Tables.xlsx,Age,65+,329,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,Less than high school,76,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,High school graduate,245,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,Some college,276,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Education,College graduate,369,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Income,"<$25,000",125,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Income,"$25,000 to <$50,000",213,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Income,"$50,000+",453,NO,23.4,12.6,39.2
2024_PHR1_BRFSS_Summary_Tables.xlsx,Marital Status,Married,502,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Marital Status,Not married,463,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Employment Status,Employed,523,NO,16.5,9.4,27.3
2024_PHR1_BRFSS_Summary_Tables.xlsx,Employment Status,Not employed,428,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Health Insurance,Health insurance,840,NO,13.4,7.7,22.3
2024_PHR1_BRFSS_Summary_Tables.xlsx,Health Insurance,No health insurance,86,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Disability Status,Has disability,295,NO,,,
2024_PHR1_BRFSS_Summary_Tables.xlsx,Disability Status,No disability,611,NO,20.3,12.1,32.1
2024_PHR1_BRFSS_Summary_Tables.xlsx,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
