max_depth,eta,cutoff,precision,precision_std,recall,recall_std,accuracy,accuracy_std
7,0.15000000000000002,0.5,0.9394748206300064,0.06333975371519812,0.965625,0.05996459959949876,0.9520499108734403,0.05250082209213643
9,0.15000000000000002,0.5,0.85,0,1,0,0.9117647058823529,0
9,0.15000000000000002,0.5,0.925,0.08017837257372733,1,0,0.9558823529411764,0.047163748572780786
9,0.15000000000000002,0.5,0.9450980392156862,0.0721674215323513,1,0,0.9681372549019608,0.04245222567570779
9,0.15000000000000002,0.5,0.9275735294117647,0.06929680576696186,0.96875,0.05590169943749474,0.9457999108734403,0.05402100773400445
9,0.15000000000000002,0.5,0.9367956656346749,0.06772420168018643,0.975,0.051298917604257706,0.953698752228164,0.05199217068492167
9,0.15000000000000002,0.5,0.9217840864415942,0.07324982843307082,0.953125,0.07197240564211428,0.9361631016042781,0.06322269479580987
9,0.15000000000000002,0.5,0.9170847725054934,0.06861524397436775,0.9598214285714286,0.06849550056670582,0.9368792971734148,0.058379246509126625
9,0.15000000000000002,0.5,0.925610940648189,0.06862623250869489,0.96484375,0.06533393594054984,0.9438502673796791,0.057796535136057856
9,0.15000000000000002,0.5,0.9273404439748609,0.0647760568165359,0.96875,0.0625,0.9468211527035056,0.05505725789774318
9,0.15000000000000002,0.5,0.9346063995773748,0.06521437895536837,0.965625,0.05996459959949876,0.949108734402852,0.052618474006437044
3,0.2,0.5,0.8611842105263158,0.022368421052631593,1,0,0.9191176470588235,0.01470588235294118
3,0.2,0.5,0.9305921052631578,0.07563132910523246,1,0,0.9595588235294118,0.04429237109728576
3,0.2,0.5,0.9537280701754386,0.06933924150259209,1,0,0.9730392156862745,0.04055748143830734
3,0.2,0.5,0.9344749742002064,0.07151698225806678,0.96875,0.05590169943749474,0.9494763814616756,0.05572581276171304
3,0.2,0.5,0.9395390436876505,0.06746260280430989,0.975,0.051298917604257706,0.9551693404634581,0.05208907776640878
3,0.2,0.5,0.9302633370599702,0.06666993143211468,0.96875,0.04876184360034337,0.9474896019013666,0.05127340265058459
3,0.2,0.5,0.9243527016069586,0.06327524152748347,0.9732142857142857,0.04636238668868225,0.9465877259994907,0.04737665064432409
3,0.2,0.5,0.9338086139060887,0.06429022282545278,0.9765625,0.04419417382415922,0.9532642602495544,0.04771819773861763
3,0.2,0.5,0.9346272646485495,0.06055062338296993,0.9791666666666666,0.04225771273642581,0.9551891463656169,0.04524691370289459
3,0.2,0.5,0.9411645381836945,0.060702758358462595,0.9734375,0.044504708408356304,0.9558823529411765,0.04312076361942331
5,0.2,0.5,0.85,0,1,0,0.9117647058823529,0
5,0.2,0.5,0.925,0.08017837257372733,1,0,0.9558823529411764,0.047163748572780786
5,0.2,0.5,0.95,0.07385489458759964,1,0,0.9705882352941176,0.0434440556397645
5,0.2,0.5,0.9280330882352941,0.07534325286709591,0.96875,0.05590169943749474,0.9457442067736186,0.05835339867794859
5,0.2,0.5,0.9424264705882353,0.07316982507677962,0.975,0.051298917604257706,0.9565953654188948,0.05642722307474355
5,0.2,0.5,0.9258481682146543,0.0779550384311505,0.9635416666666666,0.058038202685942064,0.9423648247177658,0.061616925165455014
5,0.2,0.5,0.9205682711681163,0.07314473549840457,0.96875,0.055119818980512304,0.9421950598421187,0.056871423376812634
5,0.2,0.5,0.9304972372721018,0.07329503159433001,0.97265625,0.052501680080644306,0.9494206773618539,0.05651794644744468
5,0.2,0.5,0.9316838187516722,0.06906363697423969,0.9756944444444444,0.05017331074496788,0.9517726282432165,0.05361656146028166
5,0.2,0.5,0.938515436876505,0.0686395398042651,0.96875,0.05295740910852021,0.9520499108734403,0.05103083549488148
7,0.2,0.5,0.8835526315789474,0.022368421052631596,1,0,0.9338235294117647,0.01470588235294118
7,0.2,0.5,0.9417763157894736,0.06394307513667379,1,0,0.9669117647058824,0.03665951337524192
7,0.2,0.5,0.9611842105263158,0.05851263350790341,1,0,0.9779411764705882,0.03347589311644097
7,0.2,0.5,0.9396381578947368,0.06321611899532449,0.96875,0.05590169943749474,0.9531528520499108,0.052802221508471366
7,0.2,0.5,0.9464473684210526,0.061543156727308784,0.975,0.051298917604257706,0.9595811051693405,0.050116742504604725
7,0.2,0.5,0.9320841165413534,0.06738389776320518,0.953125,0.07197240564211428,0.9423276886512181,0.06113739623289532
7,0.2,0.5,0.9259133697338584,0.06406902704166728,0.9598214285714286,0.06849550056670582,0.9421632289279348,0.05642875282102229
7,0.2,0.5,0.9333359632230085,0.06369460859664665,0.96484375,0.06533393594054984,0.9484737076648841,0.05551589735232606
7,0.2,0.5,0.9327546978830519,0.06045420885230641,0.96875,0.0625,0.9501138839374134,0.05263513787636016
