"County","pct_hispanic","pct_black","pct_white","pct_poverty","pct_uninsured","pct_college","median_income","pct_foreign_born"
"Presidio",79.5,0.7,45.2,24.7,33.6,28,NA,1.2
"Rains",10.3,2.5,84.3,8,17.5,20.9,NA,1.5
"Randall",24.6,3.5,74.3,7.4,11,33.7,NA,0.9
"Reagan",68.7,5.8,38.2,6.4,19,13.6,NA,0.3
"Real",18.9,0.7,93.3,13.8,16.2,21.1,NA,2
"Red River",7.5,16.3,74.9,12.7,16.5,15.4,NA,0.8
"Reeves",85.3,1.8,38.8,13.3,17.5,7.4,NA,1.6
"Refugio",50.4,7.2,56.6,13.8,16.1,14,NA,0.1
"Roberts",6.6,0.4,93.5,2.9,11.1,20.5,NA,1.3
"Robertson",22.2,17.2,61.5,9.6,11.3,22,NA,1.3
"Rockwall",20.8,9.3,67.6,3.3,8.7,44.5,NA,1.3
"Runnels",34.9,2.9,64.4,8.6,16.7,19.1,NA,1.1
"Rusk",19.1,13.2,65.6,10.3,13.7,17.5,NA,0.8
"Sabine",1.6,6.8,85.7,6.5,12.8,14.3,NA,0.3
"San Augustine",8.3,21.5,69.4,17,19.4,13.8,NA,0.1
"San Jacinto",19.2,8.8,72.5,16.1,17.7,16.2,NA,1.6
"San Patricio",56.5,1.5,55.8,11.8,18.7,17.5,NA,1.1
"San Saba",30.7,2.5,72.5,10.8,27,24,NA,1.3
"Schleicher",53.2,0.5,48.8,8.5,22.8,18.4,NA,0
"Scurry",43.3,3.3,64.5,9.5,16.8,13,NA,0.7
"Shackelford",12.9,0.9,83.7,5.9,13.4,34.1,NA,0.3
"Shelby",19.9,15.1,64.2,17.2,20.9,15.1,NA,0.4
"Sherman",46.6,0.1,57.4,9.3,16.3,30.2,NA,0.2
"Smith",20.9,16.3,66.5,7.7,16.9,28.6,NA,1.4
"Somervell",18.2,1.3,83.2,5.5,12.4,29.3,NA,1.2
"Starr",97.2,0.4,32.9,31,28.9,13.6,NA,1.5
"Stephens",25.1,3.1,78.2,12,13.8,17.2,NA,0.4
"Sterling",35.7,0.1,72.5,1.2,26.4,24.5,NA,0.2
"Stonewall",20,0.4,88.7,7.4,12.7,16.9,NA,0
"Sutton",63.4,0.1,45.4,3.2,15.8,18.3,NA,0.4
"Swisher",46.3,7.8,59.5,23,23.3,15.5,NA,0.1
"Tarrant",30.3,17.7,48.2,8.2,16.7,34.8,NA,1.9
"Taylor",25.1,8.1,67.2,10.6,14.1,29.3,NA,1.3
"Terrell",40.1,0,69.8,3.2,15.2,26.9,NA,0
"Terry",56.9,3.3,47.1,14.9,26.9,9.8,NA,0.2
"Throckmorton",10.3,0,88.8,19.2,20.6,22.4,NA,0
"Titus",45,10.3,53.5,13.9,21.5,16.3,NA,0.6
"Tom Green",40.6,3.9,63.1,7.6,15.5,25.5,NA,1.6
"Travis",32.6,8.2,54.9,7.1,12.1,56.6,NA,2.1
"Trinity",11.2,8.1,78.8,12.8,16,16.8,NA,0.8
"Tyler",8.4,10.7,77.9,11.1,15.7,12.4,NA,0.6
"Upshur",10.4,7.2,79.3,10.1,13.8,18.2,NA,0.9
"Upton",54.7,1.2,46.9,11.3,18.8,8.7,NA,0.5
"Uvalde",70.9,0.3,58.7,20.8,18.7,19.8,NA,1.1
"Val Verde",81.2,1.4,49,13.7,17.5,22.5,NA,1.8
"Van Zandt",13.4,2.3,84.3,8.3,18.4,19.8,NA,0.6
"Victoria",48.1,5.9,56.6,11.2,17.2,19.9,NA,0.9
"Walker",21.8,20.2,58.2,10.8,15.4,21.6,NA,1.5
"Waller",33.5,23.6,44.6,10.2,20.1,27.9,NA,1.1
"Ward",56.2,6.6,60.3,12.8,18.9,12.4,NA,1.2
"Washington",18.5,14.2,66.8,9.2,14.5,30.7,NA,0.4
"Webb",95,0.5,20.7,18.6,27.3,21.4,NA,1.6
"Wharton",42,11.4,57.4,10.7,14.2,20.7,NA,0.7
"Wheeler",25.4,1.4,80.8,14,21.2,17,NA,0.8
"Wichita",20.7,10.6,70.9,11.7,15.6,25.1,NA,1.4
"Wilbarger",30.2,5.9,62.6,16.1,8.9,17.2,NA,1
"Willacy",87.3,1.5,39.8,18.9,23.9,14,NA,1.5
"Williamson",24.7,7,59.6,4.4,9.8,48.4,NA,2.1
"Wilson",39.9,2,67.8,7.6,11,25.9,NA,1.4
"Winkler",62.5,3.9,50.6,8.6,19,10.6,NA,1.4
"Wise",21.1,1.7,80.2,5.9,14.9,22.2,NA,1.3
"Wood",11.6,3.8,81.9,8.9,17.1,21.5,NA,0.7
"Yoakum",65.6,0.1,45.2,12.7,22.5,20.1,NA,2.5
"Young",20.5,0.8,81.6,13.3,18.6,24,NA,0.8
"Zapata",93.9,0.1,21.1,35.7,27.6,15.2,NA,1.6
"Zavala",92.6,0.8,22.1,30.6,14.9,11.1,NA,0.6
