Sheet,1,2,3,4,5,6,7,8,9,10,11
DurationClnscpySgmy - Within the past 5 years,N,N,N,N,N,N,N,N,N,N,N
DurationClnscpySgmy - Within the past year,N,N,N,N,N,N,N,N,N,N,N
DurationHomeBloodStoolTest - 5 or more years ago,R,20.9,13.8,N,R,R,21.6,15.5,N,R,R
DurationHomeBloodStoolTest - Within the past 2 years,R,14.5,25.6,N,42.3,R,13.7,20.4,N,19.8,R
DurationHomeBloodStoolTest - Within the past 3 years,R,R,10.4,N,R,R,R,R,N,R,R
DurationHomeBloodStoolTest - Within the past 5 years,R,R,10.8,N,R,R,R,R,N,R,R
DurationHomeBloodStoolTest - Within the past year,46.5,36.8,39.4,N,32.6,44.4,43.7,43.2,N,43.7,61.1
E-Cig Ever - Every day,6.3,R,3.8,R,R,3.5,5.5,4.8,7.1,R,R
E-Cig Ever - Never used e-cigarettes,71.2,71.4,75.8,69.6,70.5,75.0,71.1,72.8,59.6,75.6,68.9
E-Cig Ever - Not at all (right now),18.5,19.1,17.2,21.3,20.6,19.0,19.3,18.4,28.2,13.5,22.3
E-Cig Ever - Some days,4.0,4.4,3.2,R,R,2.5,4.1,4.0,5.0,6.1,6.2
E-Cig Status - Current e-cig user - Every day,6.3,R,3.8,R,R,3.5,5.5,4.8,7.1,R,R
E-Cig Status - Current e-cig user - Some days,4.0,4.4,3.2,R,R,2.5,4.1,4.0,5.0,6.1,6.2
E-Cig Status - Former e-cig user,18.5,19.1,17.2,21.3,20.6,19.0,19.3,18.4,28.2,13.5,22.3
E-Cig Status - Never used e-cigs,71.2,71.4,75.8,69.6,70.5,75.0,71.1,72.8,59.6,75.6,68.9
Ever Had Blood Stool Test - No,14.5,11.3,14.5,R,R,16.0,11.5,16.2,R,17.5,R
Ever Had Blood Stool Test - Yes,85.5,88.7,85.5,85.2,71.9,84.0,88.5,83.8,55.3,82.5,79.8
Ever Had HIV Test - No,63.5,62.0,58.7,62.4,55.7,51.2,60.4,59.1,54.2,60.7,60.4
Ever Had HIV Test - Yes,36.5,38.0,41.3,37.6,44.3,48.8,39.6,40.9,45.8,39.3,39.6
Ever Had Sgmscpy-clnscpy - No,34.3,29.9,30.0,32.2,39.7,36.1,25.0,26.9,35.1,31.5,39.0
Ever Had Sgmscpy-clnscpy - Yes,65.7,70.1,70.0,67.8,60.3,63.9,75.0,73.1,64.9,68.5,61.0
Ever Smoked - No,59.3,62.9,70.7,55.1,62.2,67.5,66.4,68.7,49.7,67.0,69.6
Ever Smoked - Yes,40.7,37.1,29.3,44.9,37.8,32.5,33.6,31.3,50.3,33.0,30.4
Ever Told High BP - No,62.4,52.5,62.0,50.8,57.7,64.4,65.2,62.5,68.5,62.3,68.0
"Ever Told High BP - No, borderline
or pre-diabetes",R,R,0.7,0.0,R,R,R,R,R,R,R
Ever Told High BP - Yes,34.1,44.7,35.2,48.8,41.9,33.5,33.2,35.2,29.1,36.3,30.3
