PHR,group,level,n,answer,pct,low,high
,group,category,sample_size,response,pct,ci_low,ci_high
4,Marital Status,Not married,113,NO,82.8,73.8,89.1
4,Employment Status,Employed,91,NO,80.6,68.5,88.8
4,Employment Status,Not employed,126,NO,68.1,56.7,77.7
4,Health Insurance,Health insurance,193,NO,71.7,63.2,78.9
4,Health Insurance,No health insurance,N,NO,,,
4,Disability Status,Has disability,78,NO,78.1,65.9,86.8
4,Disability Status,No disability,141,NO,73.2,63.2,81.3
4,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,NO,,,
4,Sexual Orientation,Straight,161,NO,71.2,61.6,79.2
5,Total,Total,526,YES,25.6,19.6,32.7
5,Sex,Male,243,YES,20.0,13.3,28.8
5,Sex,Female,283,YES,31.6,22.2,42.8
5,Race/Ethnicity,"White, Non-Hispanic",338,YES,29.4,20.8,39.8
5,Race/Ethnicity,"Black, Non-Hispanic",84,YES,38.3,21.9,57.9
5,Race/Ethnicity,Hispanic,66,YES,,,
5,Race/Ethnicity,"Other/Multiracial, Non-Hispanic",N,YES,,,
5,Age,18 to 29,59,YES,,,
5,Age,30 to 44,85,YES,,,
5,Age,45 to 64,160,YES,23.9,14.1,37.6
5,Age,65+,216,YES,54.2,40.3,67.4
5,Education,Less than high school,N,YES,,,
5,Education,High school graduate,166,YES,18.8,11.7,28.9
5,Education,Some college,166,YES,30.9,19.2,45.7
5,Education,College graduate,153,YES,33.6,22.7,46.6
5,Income,"<$25,000",87,YES,,,
5,Income,"$25,000 to <$50,000",117,YES,22.8,13.2,36.4
5,Income,"$50,000+",223,YES,25.6,16.0,38.3
5,Marital Status,Married,242,YES,30.7,21.3,41.9
5,Marital Status,Not married,282,YES,21.6,14.6,30.8
5,Employment Status,Employed,223,YES,18.3,11.3,28.2
5,Employment Status,Not employed,295,YES,33.5,24.0,44.5
5,Health Insurance,Health insurance,455,YES,28.6,21.8,36.6
5,Health Insurance,No health insurance,N,YES,,,
5,Disability Status,Has disability,188,YES,31.3,20.9,43.9
5,Disability Status,No disability,333,YES,23.5,16.3,32.6
5,Sexual Orientation,"Gay, Lesbian, or Bisexual",N,YES,,,
5,Sexual Orientation,Straight,447,YES,28.8,21.5,37.5
5,Total,Total,526,NO,74.4,67.3,80.4
